iter	Passed	Remaining
0	59	11921
1	116	11582
2	177	11647
3	238	11670
4	297	11606
5	354	11467
6	412	11384
7	472	11337
8	530	11265
9	591	11238
10	649	11152
11	709	11114
12	773	11120
13	835	11101
14	899	11092
15	962	11070
16	1029	11079
17	1096	11091
18	1162	11078
19	1229	11067
20	1299	11074
21	1361	11019
22	1425	10971
23	1490	10929
24	1552	10867
25	1615	10811
26	1675	10733
27	1734	10656
28	1792	10572
29	1852	10496
30	1913	10431
31	1975	10369
32	2034	10297
33	2094	10224
34	2155	10161
35	2213	10085
36	2280	10045
37	2338	9969
38	2397	9897
39	2461	9844
40	2520	9773
41	2583	9717
42	2643	9653
43	2704	9589
44	2768	9534
45	2831	9478
46	2891	9413
47	2954	9357
48	3014	9290
49	3075	9227
50	3137	9167
51	3200	9107
52	3265	9057
53	3326	8995
54	3390	8938
55	3451	8875
56	3510	8808
57	3574	8752
58	3637	8691
59	3698	8629
60	3756	8559
61	3820	8502
62	3880	8438
63	3940	8374
64	4001	8310
65	4062	8247
66	4122	8183
67	4181	8117
68	4246	8061
69	4305	7995
70	4362	7925
71	4421	7860
72	4480	7795
73	4542	7735
74	4603	7672
75	4664	7609
76	4724	7547
77	4783	7481
78	4845	7421
79	4909	7364
80	4977	7312
81	5060	7282
82	5194	7322
83	5284	7297
84	5351	7240
85	5416	7180
86	5481	7120
87	5543	7055
88	5604	6989
89	5664	6923
90	5725	6857
91	5782	6788
92	5842	6722
93	5900	6654
94	5962	6590
95	6021	6523
96	6080	6457
97	6139	6389
98	6200	6326
99	6261	6261
100	6317	6192
101	6377	6127
102	6437	6062
103	6497	5997
104	6556	5932
105	6616	5867
106	6674	5801
107	6731	5734
108	6794	5672
109	6852	5606
110	6909	5539
111	6967	5474
112	7027	5410
113	7085	5345
114	7143	5280
115	7204	5216
116	7262	5152
117	7320	5087
118	7378	5022
119	7443	4962
120	7503	4898
121	7563	4835
122	7621	4771
123	7681	4708
124	7739	4643
125	7798	4579
126	7855	4515
127	7918	4454
128	7977	4390
129	8035	4326
130	8093	4262
131	8151	4199
132	8210	4135
133	8273	4075
134	8333	4012
135	8390	3948
136	8447	3884
137	8505	3821
138	8565	3758
139	8626	3696
140	8684	3633
141	8741	3570
142	8798	3507
143	8859	3445
144	8918	3382
145	8976	3320
146	9035	3257
147	9092	3194
148	9151	3132
149	9210	3070
150	9273	3009
151	9335	2948
152	9402	2888
153	9468	2828
154	9527	2765
155	9589	2704
156	9648	2642
157	9710	2581
158	9773	2520
159	9833	2458
160	9894	2396
161	9953	2334
162	10012	2272
163	10072	2211
164	10132	2149
165	10192	2087
166	10254	2026
167	10313	1964
168	10372	1902
169	10420	1838
170	10480	1777
171	10537	1715
172	10599	1654
173	10658	1592
174	10720	1531
175	10780	1470
176	10839	1408
177	10902	1347
178	10965	1286
179	11025	1225
180	11086	1163
181	11147	1102
182	11207	1041
183	11267	979
184	11335	919
185	11395	857
186	11463	796
187	11544	736
188	11613	675
189	11679	614
190	11740	553
191	11801	491
192	11864	430
193	11924	368
194	11985	307
195	12045	245
196	12107	184
197	12165	122
198	12224	61
199	12286	0
